Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.08.2011 to 31.08.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH CITY COUNCIL,382625,621522,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHAMPTON CITY COUNCIL,382627,912173,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE COUNTY COUNCIL,382629,2138953,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,RUTLAND COUNTY COUNCIL,382633,180331,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,STAFFORDSHIRE COUNTY COUNCIL,382635,2396874,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,STOKE ON TRENT COUNTY COUNCIL,382637,770961,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WILTSHIRE COUNCIL,382639,1821649,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SWINDON BOROUGH COUNCIL,382641,711176,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BRACKNELL FOREST BOROUGH COUNCIL,382643,577940,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WINDSOR AND MAIDENHEAD ROYAL BOROUGH COUNCIL,382645,817648,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WEST BERKSHIRE COUNCIL,382647,550133,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,READING BOROUGH COUNCIL,382649,788105,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SLOUGH BOROUGH COUNCIL,382651,810477,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WOKINGHAM BOROUGH COUNCIL,382653,1099655,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,CAMBRIDGESHIRE COUNTY COUNCIL,382655,1965540,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH CITY COUNCIL,382657,482476,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HALTON BOROUGH COUNCIL,382659,388795,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WARRINGTON BOROUGH COUNCIL,382661,380643,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DEVON COUNTY COUNCIL,382663,2226964,
