Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96167,219.90,E&M Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96168,4.00,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96168,19.82,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96168,55.80,E&M Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",96168,352.35,E&M Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",96169,4.60,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",96170,3.55,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",96171,11.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",96171,22.18,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",96172,15.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",96172,23.74,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",96172,39.70,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",96173,5.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96174,10.80,BLG Devolved Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96174,16.42,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96174,37.12,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96174,40.00,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",96174,112.50,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",96175,2.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",96175,43.10,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,1.50,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,15.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,20.75,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,24.50,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,27.60,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,38.90,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",96176,100.80,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",96177,54.90,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",96178,34.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - Analysis Directorate,"Personal Expense, Name Witheld",96179,4.85,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Economics & Markets - Analysis Directorate,"Personal Expense, Name Witheld",96179,26.60,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96180,15.50,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96180,16.20,E&M Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",96180,57.60,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96181,10.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96181,16.80,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96181,29.80,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96181,29.80,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96181,30.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Taxi Services UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",96181,33.40,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",96182,1.79,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",96182,5.00,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",96182,15.00,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",96182,36.13,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96183,9.20,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96183,11.70,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Rail Travel UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",96183,12.00,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Mileage Allowance UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",96184,294.30,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,FINANCIAL CRIME INFORMATION NETWORK,96211,8667.00,Prosecution Witness & Expenses-Criminal Law and Prosecution Work,E14 5HS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/05/2015,Recoveries Account - Other payables,Corporate Payments,UK TRADE & INVESTMENT,96212,19824.91,Default-Recoveries Account - Other payables,NP10 8QQ,WGA ONLY,,,
