Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.10.2011 to 31.10.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,397671,297312,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,397673,812218,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,397675,361740,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,SEFTON COUNCIL,397677,490072,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,397679,721412,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BOLTON METROPOLITAN BOROUGH COUNCIL,397681,1142775,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BURY METROPOLITAN BOROUGH COUNCIL,397683,447576,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,397685,1233719,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,397687,569697,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,397689,602159,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,397691,634903,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,STOCKPORT METROPOLITAN BOROUGH COUNCIL,397693,804055,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,TAMESIDE METROPOLITAN BOROUGH COUNCIL,397695,491235,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,TRAFFORD METROPOLITAN BOROUGH COUNCIL,397697,805173,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,WIGAN METROPOLITAN BOROUGH COUNCIL,397699,603009,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,BARNSLEY METROPOLITAN BOROUGH COUNCIL,397701,643772,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,DONCASTER METROPOLITAN BOROUGH COUNCIL,397703,1024491,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,397705,719574,
DfE,PfS,17/10/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD COUNTY COUNCIL,397707,1068707,
